CURRENT POPULATION
101010101100100000000000000001110110010001100000000010101111010101110 8822 7874.021929824562
110110001010000100110001101010011010010000010110010110001101001111101 8528 7912.088888888889
010111010111001010010000111010111001000010001101010100111011011100100 8448 8448.0
000000101000000010001000100100111110111101001010010011111010011100000 8446 7368.255208333334
100001011011111111010000111000010101100001000110011000000100001000111 8417 7492.405303030303
110010011101100100001001101110010000011011100100001000000100111010101 8288 7283.393939393939
101010101100100000000000000001100110010001100000000010101111011101100 8169 7327.019736842105
110010101100100010001000100100111110011101000010010010101111011111110 8133 7609.28409090909
000000101000010000000110001100111110111111001011010000110011010000011 8074 7211.932291666666
110001111000100000100100110101100111011001111000110010001101011110111 8030 7151.71875
101000101100000000000000000001110110010001100001111100010011010100100 7729 7084.916666666666
000110001010000100110001101111001000100001110101011011010100011100010 7368 6733.533333333333
010011010001101111011010010110001101111111101010101110100110010111011 6820 6162.864583333334
110000101011101110110100110111000001000010011110010110000101011010010 6655 5736.471354166666
010001111100101101001101111110111010110100100111101000111100111110111 6309 5687.659090909091
000001011011010001010110110000100110110000111101111110100110100010011 6134 5718.677083333333
010100110100011010011011110011000010100001110111011011010100011111111 6121 5695.930555555556
