CURRENT POPULATION
000010011100000101000000111010110111100101011010001011101000001110011 16 11.551020408163264
001010011000000101000000011001000001100001010000001010101011111110010 44 44.0
100010011100001101000010111100100010100101011010001100100010001110011 62 43.89030612244898
000110110100000110110001011110000000111100001010100111001010101110001 10 9.081632653061224
000001111100011001001000101111010101011101001001000010101011110111011 43 33.3469387755102
000001111100001001101011011110110101111101001000100000101010010011001 53 41.64285714285714
000010011000000101000000111010110111100101011010100111101011101110011 16 11.938775510204081
000010011100000110110001011110000010100101011010001010001010001110011 40 28.571428571428573
000010011100111001000100010111000111011101001000100000111010010111011 52 41.984693877551024
000001111100011001101011011110110101110001111011001100110111001010001 42 31.607142857142858
000010011000100101000100010111000111010001111011010110101001101011001 12 8.96938775510204
010111100000100001000000101111010101000101011010001110100111001110001 71 62.74081632653061
000110111100100010110000111001000000110101011110001111001001101011000 4 3.5918367346938775
110000011100000010110000010111010101011101110011101011011000001010001 48 45.862708719851575
000010011001111111010000010010100100101001010011001100111111100010000 90 87.49536178107606
000110101100000010110000011001000101100011011010101010101001101110001 16 14.17142857142857
000010011100101001000100010111000111010001111011001100110111001010001 100 72.70408163265306
TRACKER INFO
21
100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100 100 100 100 100 100 100 100 100 100
000010011100101001000100010111000111010001111011001100110111001010001 100 72.70408163265306
POPULATION HISTORY
	Generation 0
000101011100100010000100011101010000011101101111011100001101001110011 60 57.48979591836735
000001010001100001011000001001100100001101011000111011110101001111101 77 64.91964285714286
000111010101000100010011010010100100010101010001000101101010100010010 37 36.09387755102041
000011000010111010001010100010011111110001001110110110011111010011010 87 74.34948979591836
000100010001101010000001001010011000101010010001111100100111110111010 24 23.183673469387756
010000100011001010011011000010101010111100101111101101101101000001001 15 12.684948979591837
000010100000110110011000011101001000101011110100101111100100011101110 90 82.6530612244898
010010001010110001100001000010110001001000110010001111011001000100110 12 10.975881261595546
100011000001011000110100101111110000111101110110101100001000110010001 78 70.7643784786642
000011001001100101010011001111011111011010000100100010100110000010101 66 60.12244897959184
000000110001011001000000001000001110110000011000100011111100010110101 48 41.20408163265306
010001100011111010110111011101000100000001101110111010101011010101111 9 7.633928571428571
100011111011111100101001111001001111101100100110101001001010001000110 5 4.545454545454545
010000000000111100000111100010000000000000010100010010110000010000011 53 48.378478664192954
010011101000000010001101110001011000000111111110001000111000001100001 58 49.64030612244898
010000110000010010100011110000100011000110111001110001000010111111101 41 35.40433673469388
010100110100111111001001110100100001100010110100101011110110101101110 2 1.9428571428571428
110010011100110001001000001001001111010111111110000001111101101111111 11 9.232142857142858
000010011111010100010011110000110011000101111101010101100111110011110 37 31.714285714285715
010001011010001010100000110100111111001001101011111011100011100100001 59 50.57142857142858
100010011010110110001011100001000100001100001110111000000000100011111 15 12.684948979591837
100000001100000000101001011001001010110011100100010001011100001000000 53 48.575139146567714
110010011110010100111110011010110001101101001101001111111000010100110 92 78.38775510204081
100000110110010000100010110111000001000011111010111000111101010011101 80 66.83673469387755
010011001111110110111111001001111011101101110000110000110100101110100 3 2.7551020408163267
010011011100001000000011111100000100100000010010010101010111110001010 100 92.94990723562152
100011100110010110110001011010100011100111111100111101000101010011101 37 31.24234693877551
100010011111100100001010000011101101011010011110010010000110011110111 74 63.994897959183675
000100011001001010100100110100000011100011101010101000000010101001110 80 76.89795918367346
110001010001100000011010111010001000100011001110100010011001001010000 50 43.23979591836735
110010010000010001101001110101111101110010001001011110111100001101000 99 84.47831632653062
110011101111101001010111111101011111111010000101001000001100101000000 35 31.753246753246756
010000100011100010110110011100110001101100111100110000001011001100110 63 53.4375
000110000100110010100000010000111100010001100110011000100011100011000 94 91.82585034013606
100000001010110000010010111010011001000001111010011001111111100001011 64 54.61224489795919
100010011011010110110000011000101011010101110111001010011110001010000 62 56.708719851576994
010100101000101100100011111100110111101100001100010010100001111011001 99 95.56530612244899
000011100000000110100000000110010001001100011010001001001011101010011 79 66.90816326530611
100000101001111110001011101010011100011110000110001100100011000011100 48 43.99257884972171
110000011011001100001100101000001111101000111101010111011100110101011 19 16.6734693877551
000011010010000010001100110110010011011101011000111001000111101011001 11 9.176020408163264
100100000000000100100010011100101101000100011111001000001011001110000 72 68.5469387755102
001010111000000100010010111010101101010110100000011111111111000010101 45 45.0
000100001000011111100001000100000010011110000001010010010100101001101 73 70.51700680272108
000110100101101100010010010011110110100000111111100010001000011000110 41 39.41020408163265
110010000000100011101001011000011000000110001111101101110111001010111 69 57.998724489795926
000001010110101100010000100111001010111100000010000111000001001100111 30 27.940630797773657
010110100001100110000010010111001111101011111101011000101011101100011 83 79.2734693877551
100010001001001101011001110001001110110011000001001000100111000100000 10 9.128014842300557
010100110000000001110101111110110011100100110000011010110111010000000 31 29.903401360544215
	Generation 1
000011001001100101010011001111011111011010000100010010000110011110111 30 26.2708719851577
100010011111100100001010000011101101011010011110100010100110000010101 87 74.68239795918367
010011101100000010001101110001011000000111101110001000111011100011000 72 60.42857142857143
000110000100110010100000010000111100010001110110011100100000001100001 75 75.0
000011001001100101010000011000101011010101110110100010111110000010100 10 8.7569573283859
100010011001010110110011001111011111011010000101001010000110001010001 84 74.4935064935065
110010011010010100111000011000111011010101010111001010011110011100010 99 87.61224489795919
100010111011010110110110010010100001101101001101001111111000000010100 38 33.1530612244898
110001010001100000100000000110010001001100011010001001001011001010001 81 68.91198979591836
000011100000000110011010111010001000100011001110100010011001101010010 8 6.826530612244898
100011000001011000110100101111111101110010001001011100001100000011001 31 26.84821428571429
110010010000010000101001110101110000111101110110101010111000101100000 95 83.0148423005566
100000110110010000100010110111000001001011111010101100111101010010101 17 14.289540816326532
100011000001011000110100101111110010111101110110111000001000110011001 30 26.493506493506494
000110000100110010100000011000110100001101011000111000110101000011000 76 70.10612244897959
110010011110010100111110011010110001101101001101001111111000010111100 36 31.316326530612248
100000110110010000100010110111000001000001111010111000111101010000111 30 25.408163265306122
100000101001111000101011110111000000011110000110111000111101010011100 98 87.45454545454545
110000110110010110000010101010011101000011111010011100100011000011101 59 50.420918367346935
110010010000010000000011111100000110100000010010010101011100001001010 5 4.499072356215214
010011011100001001101001110101111101110010001001011110110111110101000 98 84.625
010100101000111100100011111100110111100100001100010010100011101000011 50 45.102040816326536
011110100001100110000010010111001111111011111101011000101001111111001 0 0.0
010000000000111100100110100010000000000000010100010010110000110000010 11 9.673469387755102
010011011100001000000011111100000100100000010010010101010111010001011 38 34.26345083487941
100010010001100000011010111010000100001100001110111010011000101011000 41 35.40433673469388
110001010010110110001011100001001000100011001110100000000011000010111 73 62.66454081632653
000011100000000110100000000110010001001100011010001001001011001110001 100 84.6938775510204
100100100000000100100010011100101101000100011111001000001011101010010 42 37.92857142857143
000010100000110110011000111101001000101011110100101001001011101000110 55 49.48979591836735
000011100000000110100000000110010001001100011010001111100110011111011 62 53.2219387755102
000011000010111010001010100010011111110000100110010110011111100011010 54 47.48794063079777
000110000100110010100000010000111100010001001110111000101011010011000 75 68.26530612244898
010100101000101100100011111100110111101100001100010000100001111011011 96 85.91020408163266
010100101000101100100011111100110111101100001100010010100001111001001 64 57.861224489795916
010110100001100110000010010111001100011011111110010000101011101110111 47 42.635714285714286
100010011111100100001010000011101111101010010101011010000110011100011 23 20.567717996289424
100010011111100100001010000011101101011010011110010010000011011010111 8 6.887755102040816
000011100000000110100000000110010001001100011010001001001110101110011 77 66.09821428571429
000011100110010110110011011010100111101100001100010010100001111011001 60 52.95918367346939
110100101000101100100011111100110011100111111100111101000101010011101 71 65.13163265306123
010110110110010000100010110111000001000011111101011000101011101101001 0 0.0
100000100001100110000010010111001111101011111010111000111101010010111 29 24.11734693877551
000010100000110110011000011101001000101011110100101111100100001101000 36 32.526901669758814
010011101000100010001101110001011000000111111110001000111000011100111 1 0.8520408163265306
000100011001001110100100110100000011100111101010111000000010101101110 48 44.522448979591836
010110100001100110000010010111001111101011111101001000101011101000011 91 82.08571428571427
000000110001011001000000001000001110110000011000100011110110000010101 73 63.4094387755102
000011001001100101010011001111011111001010000110100010101100011110101 48 42.03339517625232
